Date,Open,High,Low,Close,Adj Close,Volume
11/4/2016,39.720001,40.75,39.25,40.360001,40.360001,679351
12/4/2016,40.349998,42.25,40.09,42.169998,42.169998,796837
13/4/2016,41.630001,42.419998,41.240002,41.759998,41.759998,730437
14/4/2016,41.540001,42.16,40.84,41.5,41.5,488614
15/4/2016,41.43,41.73,39.98,40.360001,40.360001,520146
18/4/2016,38.75,40.240002,37.610001,39.779999,39.779999,342463
19/4/2016,40.040001,41.529999,39.580002,41.080002,41.080002,101734
20/4/2016,40.799999,42.91,39.849998,42.630001,42.630001,796240
21/4/2016,43.970001,44.490002,43.049999,43.18,43.18,671103
22/4/2016,43.419998,44.450001,43.110001,43.73,43.73,575107
25/4/2016,43.75,44.040001,42.580002,42.639999,42.639999,606383
26/4/2016,42.959999,44.830002,42.5,44.040001,44.040001,564392
27/4/2016,44.639999,45.619999,43.77,45.330002,45.330002,648028
28/4/2016,45.299999,46.139999,44.939999,46.029999,46.029999,487412
29/4/2016,45.900002,46.779999,45.240002,45.919998,45.919998,598439
2/5/2016,45.900002,46.150002,44.540001,44.779999,44.779999,464027
3/5/2016,44.919998,45.349998,43.32,43.650002,43.650002,625551
4/5/2016,43.849998,44.880001,43.220001,43.779999,43.779999,711125
5/5/2016,44.040001,46.07,43.959999,44.32,44.32,746159
6/5/2016,44.52,45.34,43.540001,44.66,44.66,695306
9/5/2016,45,45.939999,43.240002,43.439999,43.439999,767568
10/5/2016,43.25,44.790001,43.029999,44.66,44.66,709415
11/5/2016,44.599998,46.360001,43.959999,46.23,46.23,869957
12/5/2016,46,47.02,45.610001,46.700001,46.700001,715102
13/5/2016,46.41,46.490002,45.75,46.209999,46.209999,519363
16/5/2016,46.279999,47.98,46.150002,47.720001,47.720001,550863
17/5/2016,47.900002,48.759998,47.529999,48.310001,48.310001,470440
18/5/2016,48.529999,48.950001,47.75,48.189999,48.189999,343184
19/5/2016,47.869999,48.279999,46.73,48.16,48.16,108816
20/5/2016,48.200001,48.790001,47.439999,47.75,47.75,538047
23/5/2016,48.459999,48.5,47.400002,48.080002,48.080002,475453
24/5/2016,48.080002,49.27,47.639999,48.619999,48.619999,475965
25/5/2016,49.09,49.75,48.650002,49.560001,49.560001,550501
26/5/2016,49.700001,50.209999,49.220001,49.48,49.48,488465
27/5/2016,49.310001,49.599998,48.689999,49.330002,49.330002,406386
31/5/2016,49.540001,50.099998,48.810001,49.099998,49.099998,476988
1/6/2016,48.82,49.25,47.75,49.009998,49.009998,568839
2/6/2016,48.900002,49.470001,47.970001,49.169998,49.169998,564846
3/6/2016,49.040001,49.41,48.330002,48.619999,48.619999,481034
6/6/2016,48.880001,49.900002,48.709999,49.689999,49.689999,450472
7/6/2016,49.709999,50.529999,49.439999,50.360001,50.360001,542254
8/6/2016,50.41,51.619999,50.32,51.23,51.23,656416
9/6/2016,51.450001,51.669998,50.23,50.560001,50.560001,560723
10/6/2016,50.470001,50.73,48.799999,49.07,49.07,596119
13/6/2016,48.849998,49.279999,48.16,48.880001,48.880001,506036
14/6/2016,48.52,48.689999,47.84,48.490002,48.490002,456144
15/6/2016,47.900002,48.720001,47.279999,48.009998,48.009998,527870
16/6/2016,47.450001,47.75,45.91,46.209999,46.209999,507910
17/6/2016,45.990002,48.290001,45.830002,47.98,47.98,226653
20/6/2016,48.290001,49.419998,48.139999,49.369999,49.369999,98293
21/6/2016,49.139999,49.32,48.16,48.849998,48.849998,475407
22/6/2016,50.220001,50.540001,48.400002,49.130001,49.130001,569939
23/6/2016,49.080002,50.23,49.080002,50.110001,50.110001,401885
24/6/2016,50.299999,50.450001,46.700001,47.639999,47.639999,649446
27/6/2016,47.810001,47.959999,45.830002,46.330002,46.330002,504613
28/6/2016,46.59,48.18,46.540001,47.849998,47.849998,498851
29/6/2016,48.060001,50,47.98,49.880001,49.880001,511476
30/6/2016,49.549999,49.619999,48.169998,48.330002,48.330002,508736
1/7/2016,48.380001,49.299999,47.900002,48.990002,48.990002,405187
5/7/2016,49.110001,49.349998,46.330002,46.599998,46.599998,609194
6/7/2016,46.830002,47.950001,45.919998,47.43,47.43,607663
7/7/2016,47.880001,48.25,44.869999,45.139999,45.139999,710893
8/7/2016,45.189999,45.970001,44.77,45.41,45.41,583078
11/7/2016,45.07,45.77,44.419998,44.759998,44.759998,533657
12/7/2016,44.580002,46.93,44.509998,46.799999,46.799999,658257
13/7/2016,46.580002,46.709999,44.560001,44.75,44.75,686245
14/7/2016,45.139999,45.799999,44.950001,45.68,45.68,573761
