Symbol;Position;Type;Lots;Open time;Open price;Close time;Close price;Profit;Net profit;Rollover;Comment
GOLD;546243336;Buy Stop;0.01;15.02.2022 21:04:14;1854.28;15.02.2022 21:34:05;1848.91;-5.37;-5.37;0;[S/L]
USDJPY;544356466;Sell Limit;0.04;14.02.2022 10:14:38;115.493;14.02.2022 13:54:10;115.319;6.04;6.04;0;[T/P]
EURUSD;544352434;Sell Stop;0.03;14.02.2022 10:01:28;1.1345;14.02.2022 15:14:14;1.13393;1.71;1.71;0;[S/L]
EURUSD;542984563;Sell Stop;0.03;11.02.2022 13:28:01;1.13799;11.02.2022 14:54:39;1.13929;-3.9;-3.90;0;[S/L]
USDJPY;542948111;Buy Stop;0.03;11.02.2022 11:36:51;116.098;11.02.2022 15:00:48;115.964;-3.47;-3.47;0;[S/L]
USDJPY;541813230;Buy;0.03;10.02.2022 16:27:36;115.82;10.02.2022 20:32:45;116.024;5.27;5.27;0;
EURUSD;539836216;Sell Stop;0.02;08.02.2022 15:40:17;1.1402;08.02.2022 17:45:44;1.14191;-3.42;-3.42;0;[S/L]
GOLD;539772688;Buy Limit;0.01;08.02.2022 14:41:27;1815.94;08.02.2022 20:35:57;1822.01;6.07;6.07;0;[T/P]
EURUSD;514695546;Buy Stop;0.05;07.01.2022 16:08:23;1.1312;07.01.2022 18:11:43;1.1302;-5;-5.00;0;[S/L]
GBPUSD;513797966;Sell Stop;0.04;06.01.2022 16:16:49;1.35052;06.01.2022 16:28:00;1.35151;-3.96;-3.96;0;[S/L]
GBPUSD;513726846;Sell Limit;0.04;06.01.2022 15:08:53;1.35005;06.01.2022 15:47:15;1.34978;1.08;1.08;0;[T/P]
EURUSD;513722654;Sell Stop;0.04;06.01.2022 15:05:44;1.12889;06.01.2022 15:09:32;1.1297;-3.24;-3.24;0;[S/L]
EURUSD;512787088;Buy Limit;0.04;05.01.2022 16:52:53;1.13096;05.01.2022 18:33:22;1.13195;3.96;3.96;0;[T/P]
EURUSD;511460226;Sell Limit;0.04;03.01.2022 22:07:46;1.13052;03.01.2022 22:27:09;1.12994;2.32;2.32;0;[T/P]
EURUSD;511044910;Buy Limit;0.04;03.01.2022 13:59:28;1.13441;03.01.2022 17:03:35;1.13572;5.24;5.24;0;[T/P]

